rent;bedrooms;bathrooms;parkings;sizes;areas
2800;0.5;1;0;249 m²;Johannesburg Central
2800;0;1;1;52 m²;Troyeville
2800;0;1;1;52 m²;Troyeville
2800;0.5;1;0;249 m²;Johannesburg Central
2800;0.5;1;0;0;Rosettenville
2850;5;3;5;475 m²;Westdene
2850;0.5;1;1;23 m²;Johannesburg Central
2850;0.5;1;0;0;Johannesburg Central
2850;0.5;1;0;52 m²;Braamfontein
2850;0;1;1;52 m²;Hillbrow
2850;0.5;1;0;20 m²;Johannesburg Central
2850;1;1;0;0;Johannesburg Central
2850;0;1;1;52 m²;Hillbrow
2850;1;1;0;30 m²;Johannesburg Central
2850;0.5;1;0;0;City & Suburban
2850;0.5;1;0;0;Berea
2860;0;1;1;35 m²;Johannesburg Central
2860;1;1;0;67 m²;Kensington
2860;3;1;1;105 m²;Berea
2896;1;1;0;0;Johannesburg Central
2896;1;1;0;0;Doornfontein
2900;1;1;0;0;Johannesburg Central
2900;0;1;0;20 m²;Jeppestown
2900;0.5;1;0;0;Hillbrow
2900;1;1;1;0;Bezuidenhout Valley
2900;1;1;0;0;Hillbrow
2900;0.5;1;0;0;Johannesburg Central
2915;0;1;2;42 m²;Hillbrow
2919;0.5;1;1;495 m²;Johannesburg Central
2950;0.5;1;0;0;Johannesburg Central
2950;0.5;1;0;0;Brixton
2950;0.5;1;0;0;Johannesburg Central
2950;2;1;1;45 m²;Braamfontein
2950;0.5;1;0;24 m²;Johannesburg Central
2950;1;1;1;40 m²;New Doornfontein
2950;1;1;0;30 m²;Marshalltown
2950;1;1;0;40 m²;Johannesburg Central
2950;0.5;1;0;30 m²;Johannesburg Central
2950;0.5;1;0;0;Hillbrow
2950;0.5;1;0;24 m²;Johannesburg Central
2950;1;1;0;0;Johannesburg Central
2962;3;2;0;0;Johannesburg Central
2962;1;1;0;0;Johannesburg Central
2976;0.5;1;0;249 m²;Johannesburg Central
2993;1;1;0;0;Johannesburg Central
3000;2;1;0;46 m²;Braamfontein
2993;1;1;0;35 m²;Hillbrow
2996;0.5;1;0;249 m²;Johannesburg Central
2998;0.5;1;0;249 m²;Johannesburg Central
2998;1;1;0;40 m²;Jeppestown
2999;1;1;1;0;Haddon
2999;0.5;1;0;35 m²;New Doornfontein
3000;0.5;1;1;17 m²;Johannesburg Central
3000;0.5;1;0;43 m²;Hillbrow
3000;0.5;1;0;0;Johannesburg Central
3000;1;1;0;25 m²;Cyrildene
3000;2;1;0;46 m²;Braamfontein
3000;4;2;0;95 m²;Braamfontein
3000;1;1;0;27 m²;Johannesburg Central
3000;0.5;1;0;0;Johannesburg Central
3000;1;1;1;0;Westdene
3000;0.5;1.5;0;41 m²;Berea
3000;0;0;0;0;Doornfontein
3000;0;0;0;3 000 m²;Doornfontein
3000;1;1;0;0;Yeoville
3000;5;3;3;615 m²;Westdene
3000;0.5;1;1;30 m²;Johannesburg Central
3000;1;1;0;0;Johannesburg Central
3000;1;1;0;0;Johannesburg Central
3000;0;0;1;0;Bezuidenhout Valley
3000;1;1;0;30 m²;Kew
3000;1;1;1;0;Haddon
3000;1;1;0;21 m²;Troyeville
3000;0.5;1;2;20 m²;Marshalltown
3000;1;1;1;33 m²;Jeppestown
3000;0.5;1;0;0;Hillbrow
3000;0.5;1;0;0;Johannesburg Central
3000;0;1;1;45 m²;Berea
3000;3;3;2;2 032 m²;Lombardy East
3000;1;1;0;0;Rosettenville
3000;1;1;1;0;West Turffontein
3000;0;1;1;45 m²;Joubert Park
3000;0.5;1;0;57 m²;Hillbrow
3000;0.5;1;0;0;Johannesburg Central
3000;1;1;0;495 m²;La Rochelle
3000;0;1;0;0;Marshalltown
3000;1;1;0;41 m²;Johannesburg Central
3000;0.5;1;1;0;Auckland Park
